% time	cellId	IMSI	RNTI	rsrp	sinr
0.225214	1	1	1	5.4396e-10	1.14677e+06
0.225214	1	2	2	1.07682e-09	2.27013e+06
0.226214	1	1	1	5.4396e-10	1.14677e+06
0.226214	1	2	2	1.07682e-09	2.27013e+06
0.227214	1	1	1	5.4396e-10	1.14677e+06
0.227214	1	2	2	1.07682e-09	2.27013e+06
0.228214	1	1	1	5.4396e-10	1.14677e+06
0.228214	1	2	2	1.07682e-09	2.27013e+06
0.229214	1	1	1	5.4396e-10	1.14677e+06
0.229214	1	2	2	1.07682e-09	2.27013e+06
0.230214	1	1	1	5.4396e-10	1.14677e+06
0.230214	1	2	2	1.07682e-09	2.27013e+06
0.231214	1	1	1	5.4396e-10	1.14677e+06
0.231214	1	2	2	1.07682e-09	2.27013e+06
0.232214	1	1	1	5.4396e-10	1.14677e+06
0.232214	1	2	2	1.07682e-09	2.27013e+06
0.233214	1	1	1	5.4396e-10	1.14677e+06
0.233214	1	2	2	1.07682e-09	2.27013e+06
0.234214	1	1	1	5.4396e-10	1.14677e+06
0.234214	1	2	2	1.07682e-09	2.27013e+06
0.235214	1	1	1	5.4396e-10	1.14677e+06
0.235214	1	2	2	1.07682e-09	2.27013e+06
0.236214	1	1	1	5.4396e-10	1.14677e+06
0.236214	1	2	2	1.07682e-09	2.27013e+06
0.237214	1	1	1	5.4396e-10	1.14677e+06
0.237214	1	2	2	1.07682e-09	2.27013e+06
0.238214	1	1	1	5.4396e-10	1.14677e+06
0.238214	1	2	2	1.07682e-09	2.27013e+06
0.239214	1	1	1	5.4396e-10	1.14677e+06
0.239214	1	2	2	1.07682e-09	2.27013e+06
0.240214	1	1	1	5.4396e-10	1.14677e+06
0.240214	1	2	2	1.07682e-09	2.27013e+06
0.241214	1	1	1	5.4396e-10	1.14677e+06
0.241214	1	2	2	1.07682e-09	2.27013e+06
0.242214	1	1	1	5.4396e-10	1.14677e+06
0.242214	1	2	2	1.07682e-09	2.27013e+06
0.243214	1	1	1	5.4396e-10	1.14677e+06
0.243214	1	2	2	1.07682e-09	2.27013e+06
0.244214	1	1	1	5.4396e-10	1.14677e+06
0.244214	1	2	2	1.07682e-09	2.27013e+06
0.245214	1	1	1	5.4396e-10	1.14677e+06
0.245214	1	2	2	1.07682e-09	2.27013e+06
0.246214	1	1	1	5.4396e-10	1.14677e+06
0.246214	1	2	2	1.07682e-09	2.27013e+06
0.247214	1	1	1	5.4396e-10	1.14677e+06
0.247214	1	2	2	1.07682e-09	2.27013e+06
0.248214	1	1	1	5.4396e-10	1.14677e+06
0.248214	1	2	2	1.07682e-09	2.27013e+06
0.249214	1	1	1	5.4396e-10	1.14677e+06
0.249214	1	2	2	1.07682e-09	2.27013e+06
0.250214	1	1	1	5.4396e-10	1.14677e+06
0.250214	1	2	2	1.07682e-09	2.27013e+06
0.251214	1	1	1	5.4396e-10	1.14677e+06
0.251214	1	2	2	1.07682e-09	2.27013e+06
